Bahnhof               | id 
Dachau Newtonstraße | de:09174:7079
Dachau Obergrashof | de:09174:7041
Dachau Ohmstraße | de:09174:6803
Dachau Pater-Roth-Straße | de:09174:7039
Dachau Pfarrer-Kölbl-Straße | de:09174:7088
Dachau Polizei | de:09174:7099
Dachau Pollnstraße | de:09174:7050
Dachau Puchheimer Straße | de:09174:7007
Dachau Rathaus | de:09174:7024
Dachau Ratiborer Straße | de:09174:7040
Dachau Robert-Bosch-Straße | de:09174:7076
Dachau Saubachsiedlung | de:09174:7019
Dachau Schulzentrum | de:09174:7085
Dachau Stadtweiher | de:09174:7063
Dachau Steinkirchener Straße | de:09174:7059
Dachau Steinstraße | de:09174:7100
Dachau St.-Peter-Straße | de:09174:7066
Dachau Stresemannstraße | de:09174:7064
